democracy,pcgnp
14.6,1.292999958847737
14.6,1.299999917695473
0,1.300999958847737
0,1.309
3.1,1.309999917695473
9.9,1.315999958847737
0,1.318999958847737
6,1.318999958847737
0,1.325999958847737
0,1.327
3.5,1.345999917695473
14.6,1.35
0,1.35
0,1.35
0,1.356999958847737
6,1.358
18.2,1.361999958847737
12.9,1.378
12.9,1.379999958847737
0,1.386
1.7,1.388
0,1.391
11.6,1.409
12.9,1.409
0,1.409999917695473
18.2,1.409999917695473
11.6,1.414999917695473
0,1.417
11.6,1.419999917695473
0,1.419999917695473
7.8,1.448999958847737
12.8,1.455
21.2,1.45799987654321
5,1.463999917695473
0,1.479999958847737
.2,1.48099987654321
20.8,1.501999958847737
3.5,1.508
21.2,1.519999958847737
